"trial_id","sx","sy","px","py","pz","duration","timestamp","trial_onset","label","label_onset","subject_nr.x","AOI_visited","subject_nr.y","fat_craving","sugar_craving","Block","practice","Arrow_Direction","Arrow_Position","Congruence","Left_Picture","Right_Picture","Pair_Number","response","response_time","accuracy","part_ID"
1,0.409403473138809,0.493526309728622,-42.9647331237793,140.512466430664,44.3056106567383,299.994,1252.006,216.998,"Pictures_Onset",200.998,"06","Salty",6,30,40,1,"no","up","Left",1,"FF","FL",1,"up",588,1,"Guest06"
1,0.403354197740555,0.486083328723907,-45.8802070617676,142.347930908203,44.9733352661133,249.012,1584.998,549.99,"Pictures_Onset",533.99,"06","Salty",6,30,40,1,"no","up","Left",1,"FF","FL",1,"up",588,1,"Guest06"
1,0.606730759143829,0.490756392478943,51.2142333984375,141.182312011719,44.5500030517578,416.998,1917.005,881.997,"Pictures_Onset",865.997,"06","Healthy",6,30,40,1,"no","up","Left",1,"FF","FL",1,"up",588,1,"Guest06"
1,0.614903509616852,0.503412306308746,55.0566711425781,137.989822387695,43.3878059387207,614.003,2368,1332.992,"Pictures_Onset",1316.992,"06","Healthy",6,30,40,1,"no","up","Left",1,"FF","FL",1,"up",588,1,"Guest06"
2,0.43941667675972,0.488291680812836,-28.6329174041748,141.802490234375,44.7741661071777,116.006,1299.994,266.996,"Pictures_Onset",248.986,"06","Healthy",6,30,40,2,"no","up","Left",0,"FL","FF",1,"up",601,1,"Guest06"
2,0.406148195266724,0.487999975681305,-44.4944458007812,141.86018371582,44.7961082458496,281.997,1449.997,416.999,"Pictures_Onset",398.989,"06","Healthy",6,30,40,2,"no","up","Left",0,"FL","FF",1,"up",601,1,"Guest06"
2,0.373555570840836,0.474111109972,-60.0155601501465,145.379348754883,46.0762214660645,232,1799.002,766.004,"Pictures_Onset",747.994,"06","Healthy",6,30,40,2,"no","up","Left",0,"FL","FF",1,"up",601,1,"Guest06"
2,0.353074043989182,0.454481452703476,-69.7651824951172,150.328140258789,47.8770332336426,134.004,2064.998,1032,"Pictures_Onset",1013.99,"06","Healthy",6,30,40,2,"no","up","Left",0,"FL","FF",1,"up",601,1,"Guest06"
2,0.398999959230423,0.470487117767334,-47.9243583679199,146.307693481445,46.4135894775391,199.002,2248.998,1216,"Pictures_Onset",1197.99,"06","Healthy",6,30,40,2,"no","up","Left",0,"FL","FF",1,"up",601,1,"Guest06"
2,0.40155553817749,0.50518524646759,-46.6214790344238,137.547393798828,43.2255592346191,134.003,2480,1447.002,"Pictures_Onset",1428.992,"06","Healthy",6,30,40,2,"no","up","Left",0,"FL","FF",1,"up",601,1,"Guest06"
2,0.627796351909637,0.48953703045845,61.2759246826172,141.494644165039,44.663143157959,281.997,2697.997,1664.999,"Pictures_Onset",1646.989,"06","Salty",6,30,40,2,"no","up","Left",0,"FL","FF",1,"up",601,1,"Guest06"
3,0.406333327293396,0.480699926614761,-44.4086647033691,143.695007324219,45.4630012512207,233.997,1424,399.002,"Pictures_Onset",372.992,"06","Salty",6,30,40,3,"no","down","Right",0,"FF","FL",1,"down",568,1,"Guest06"
3,0.628739774227142,0.486203253269196,61.6534156799316,142.323806762695,44.9640655517578,664.999,1758.003,733.005,"Pictures_Onset",706.995,"06","Healthy",6,30,40,3,"no","down","Right",0,"FF","FL",1,"down",568,1,"Guest06"
3,0.60091108083725,0.487844407558441,48.4231147766113,141.90510559082,44.8117828369141,232.998,2456,1431.002,"Pictures_Onset",1404.992,"06","Healthy",6,30,40,3,"no","down","Right",0,"FF","FL",1,"down",568,1,"Guest06"
4,0.430803030729294,0.475318223237991,-32.7204551696777,145.074554443359,45.9654541015625,350.004,1328.998,298.995,"Pictures_Onset",277.99,"06","Healthy",6,30,40,4,"no","down","Right",1,"FL","FF",1,"down",617,1,"Guest06"
4,0.590822219848633,0.485577762126923,43.679557800293,142.472900390625,45.0182151794434,232.998,1745.997,715.994,"Pictures_Onset",694.989,"06","Salty",6,30,40,4,"no","down","Right",1,"FL","FF",1,"down",617,1,"Guest06"
4,0.614301025867462,0.486634403467178,54.7849426269531,142.248825073242,44.9368782043457,499.994,2012.006,982.003,"Pictures_Onset",960.998,"06","Salty",6,30,40,4,"no","down","Right",1,"FL","FF",1,"down",617,1,"Guest06"
4,0.383069396018982,0.477236032485962,-55.4908332824707,144.593490600586,45.7902793884277,381.99,2595.008,1565.005,"Pictures_Onset",1544,"06","Healthy",6,30,40,4,"no","down","Right",1,"FL","FF",1,"down",617,1,"Guest06"
5,0.613933265209198,0.484244525432587,54.5471076965332,142.795791625977,45.1366653442383,233.011,1358.989,332.992,"Pictures_Onset",307.981,"06","Healthy",6,30,40,2,"no","up","Left",1,"FF","FL",2,"up",634,1,"Guest06"
5,0.626385927200317,0.469736844301224,60.602466583252,146.481399536133,46.4777221679688,299.994,1624.998,599.001,"Pictures_Onset",573.99,"06","Healthy",6,30,40,2,"no","up","Left",1,"FF","FL",2,"up",634,1,"Guest06"
5,0.402435898780823,0.480359017848969,-46.2589721679688,143.808486938477,45.5043601989746,198.989,2008,982.003,"Pictures_Onset",956.992,"06","Salty",6,30,40,2,"no","up","Left",1,"FF","FL",2,"up",634,1,"Guest06"
5,0.398385971784592,0.472649127244949,-48.1056137084961,145.753875732422,46.2122802734375,299.994,2240.998,1215.001,"Pictures_Onset",1189.99,"06","Salty",6,30,40,2,"no","up","Left",1,"FF","FL",2,"up",634,1,"Guest06"
5,0.592962980270386,0.498999953269958,44.6411056518555,139.135177612305,43.8029670715332,281.997,2624,1598.003,"Pictures_Onset",1572.992,"06","Healthy",6,30,40,2,"no","up","Left",1,"FF","FL",2,"up",634,1,"Guest06"
6,0.392444491386414,0.488366633653641,-51.0393218994141,141.807998657227,44.777889251709,482.01,1368,331.994,"Pictures_Onset",316.992,"06","Healthy",6,30,40,3,"no","up","Left",0,"FL","FF",2,"up",517,1,"Guest06"
6,0.59077775478363,0.489424228668213,43.574951171875,141.517593383789,44.6701965332031,532.007,1950.003,913.997,"Pictures_Onset",898.995,"06","Salty",6,30,40,3,"no","up","Left",0,"FL","FF",2,"up",517,1,"Guest06"
6,0.589566707611084,0.498016685247421,42.9674949645996,139.370498657227,43.8899955749512,316.992,2516.006,1480,"Pictures_Onset",1464.998,"06","Salty",6,30,40,3,"no","up","Left",0,"FL","FF",2,"up",517,1,"Guest06"
7,0.592568635940552,0.467960774898529,44.4372520446777,146.934906005859,46.6423530578613,264.999,1552.998,533.004,"Pictures_Onset",501.99,"06","Healthy",6,30,40,4,"no","down","Right",0,"FF","FL",2,"down",548,1,"Guest06"
7,0.62064915895462,0.474087715148926,57.8010520935059,145.353317260742,46.0670204162598,298.995,1851.994,832,"Pictures_Onset",800.986,"06","Healthy",6,30,40,4,"no","down","Right",0,"FF","FL",2,"down",548,1,"Guest06"
7,0.428720414638519,0.494494587182999,-33.7211799621582,140.256790161133,44.2123680114746,498.995,2266.995,1247.001,"Pictures_Onset",1215.987,"06","Salty",6,30,40,4,"no","down","Right",0,"FF","FL",2,"down",548,1,"Guest06"
